SHORTNAME,RA,DEC,DISCOVERYNAME,DISCOVERYREFNAME,SOURCE_ID,DISTARCSEC,MULTIPLEFLAGNAME,MULTIPLEFLAGREFNAME,SPTOPTNAME,SPTOPTREFNAME,SPTNIRNAME,SPTNIRREFNAME,SPTPHONAME,SPTPHOREFNAME,LIT_PARALLAX,LIT_PARALLAX_ERROR,LIT_PARALLAXREFNAME,TMASSJ,TMASSJERR,TMASSH,TMASSHERR,TMASSK,TMASSKERR,WISEW1,WISEW1ERR,WISEW2,WISEW2ERR,WISEW3,WISEW3ERR,GUNNG,GUNNGERR,GUNNR,GUNNRERR,GUNNI,GUNNIERR,GUNNZ,GUNNZERR,GUNNY,GUNNYERR,PHOT_G_MEAN_MAG,PHOT_G_MEAN_MAG_ERROR,PHOT_G_MEAN_FLUX,PHOT_G_MEAN_FLUX_ERROR,PHOT_BP_MEAN_MAG,PHOT_BP_MEAN_MAG_ERROR,PHOT_BP_MEAN_FLUX,PHOT_BP_MEAN_FLUX_ERROR,PHOT_RP_MEAN_MAG,PHOT_RP_MEAN_MAG_ERROR,PHOT_RP_MEAN_FLUX,PHOT_RP_MEAN_FLUX_ERROR,GAIAGEST,PARALLAX,PARALLAX_ERROR,PMRA,PMRA_ERROR,PMDEC,PMDEC_ERROR
 J0042+1142 , 10.747216978, 11.702576533,ULAS J004259.29+114209.8 ,2016A&A...589A..49S, 2775496377361648384,  0.16,       ...,                ...,      ... ,               ... ,      ... ,               ... ,       L0 ,2016A&A...589A..49S,-99999.000,-99999.000,           -99999. ,    14.754,     0.038,    14.074,     0.043,    13.514,     0.028,    13.252,     0.024,    12.921,     0.027,    11.873,-99999.000,-99999.000,-99999.000,    21.684,     0.039,    18.965,     0.006,    17.451,     0.004,    16.524,     0.008,    19.426,     0.003,     319.9,     0.9,    21.975,     0.184,      22.4,     3.8,    17.774,     0.017,     624.0,     9.7,    19.511,   18.62, 0.56,   86.30, 1.40,  -85.71, 0.66
 J0043+2221 , 10.859675996, 22.356134942,WISEA J004326.26+222124.0,2014ApJ...783..122K, 2802623115925093760,  0.22,       ...,                ...,      ... ,               ... ,    L1 sd ,2014ApJ...783..122K,      ... ,               ... ,-99999.000,-99999.000,               ... ,    14.871,     0.038,    14.226,     0.039,    13.931,     0.063,    13.688,     0.025,    13.373,     0.031,    12.213,-99999.000,-99999.000,-99999.000,    21.394,     0.038,    18.527,     0.006,    17.116,     0.004,    16.396,     0.006,    19.112,     0.003,     427.3,     1.2,    21.293,     0.191,      42.0,     7.4,    17.513,     0.013,     793.8,     9.6,    19.696,   14.74, 0.36,  172.12, 0.72, -405.53, 0.42
 J0045+1634 , 11.340843260, 16.578887060,             2MUCD 20037 ,2003IAUS..211..197W, 2781513733917711616,  0.20,      MG; ,2014ApJ...783..121G,  L2 beta ,2009AJ....137.3345C, L2 gamma ,2013ApJ...772...79A,      ... ,               ... ,    65.940,     1.330,2016ApJ...833...96L,    13.059,     0.022,    12.059,     0.035,    11.366,     0.021,    10.782,     0.023,    10.398,     0.020,     9.794,     0.051,-99999.000,-99999.000,    20.015,     0.013,    17.760,     0.005,    16.254,     0.004,    15.251,     0.019,    18.168,     0.002,    1018.6,     1.4,    20.992,     0.114,      55.4,     5.8,    16.540,     0.008,    1943.7,    14.5,    17.906,   65.02, 0.23,  358.92, 0.40,  -48.07, 0.24
 J0046+0251 , 11.565029419,  2.866372669,ULAS J004615.56+025159.6 ,2016A&A...589A..49S, 2550766886522609920,  0.07,       ...,                ...,      ... ,               ... ,      ... ,               ... ,       L0 ,2016A&A...589A..49S,-99999.000,-99999.000,           -99999. ,    14.401,     0.033,    13.705,     0.036,    13.286,     0.035,    12.997,     0.026,    12.686,     0.028,    11.769,     0.429,    21.990,     0.177,    21.301,     0.041,    18.657,     0.015,    17.184,     0.009,    16.244,     0.003,    19.126,     0.003,     421.6,     1.1,    21.384,     0.229,      38.6,     8.2,    17.479,     0.009,     818.4,     6.5,    19.207,   25.27, 0.49,   95.09, 1.07, -116.94, 0.54
 J0046+1608 , 11.700211306, 16.135396153,ULAS J004648.07+160807.9 ,2016A&A...589A..49S, 2781432571920655872,  0.08,       ...,                ...,      ... ,               ... ,      ... ,               ... ,       L0 ,2016A&A...589A..49S,-99999.000,-99999.000,           -99999. ,    15.679,     0.073,    14.922,     0.079,    14.505,     0.093,    14.157,     0.027,    13.893,     0.041,    11.963,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    19.844,     0.014,    18.425,     0.012,    17.472,     0.032,    20.394,     0.008,     131.2,     0.9,    21.480,     0.247,      35.3,     8.0,    18.753,     0.041,     253.2,     9.5,    20.348,   15.16, 1.17,  -55.46, 1.77,  -69.37, 1.14
 J0046+0715 , 11.702157829,  7.254673179,  2MASS 00464841+0715177 ,2003IAUS..211..197W, 2556724418479276416,  0.11,       ...,                ...,     L0:: ,2008AJ....136.1290R,       M9 ,2003IAUS..211..197W,    L2.5p ,2016A&A...589A..49S,-99999.000,-99999.000,               ... ,    13.885,     0.028,    13.178,     0.035,    12.546,     0.026,    12.091,     0.024,    11.644,     0.022,    11.286,     0.225,    21.904,     0.161,    21.043,     0.059,    18.506,     0.006,    16.897,     0.007,    15.885,     0.004,    18.883,     0.002,     527.5,     1.2,    21.634,     0.166,      30.7,     4.7,    17.202,     0.012,    1056.9,    11.4,    18.596,   26.62, 0.44,   96.80, 0.71,  -60.20, 0.51
 J0048+0123 , 12.187336830,  1.389529557,ULAS J004844.95+012322.8 ,2016A&A...589A..49S, 2549246124503034112,  0.22,       ...,                ...,      ... ,               ... ,      ... ,               ... ,       L1 ,2016A&A...589A..49S,-99999.000,-99999.000,           -99999. ,    15.289,     0.047,    14.441,     0.060,    14.025,     0.053,    13.602,     0.026,    13.273,     0.034,    11.442,     0.313,    21.649,-99999.000,    21.870,     0.013,    19.608,     0.014,    18.146,     0.010,    17.205,     0.010,    20.119,     0.006,     168.9,     0.9,    21.559,     0.214,      32.9,     6.5,    18.391,     0.022,     353.5,     7.3,    19.962,   14.58, 1.00,  -18.05, 1.93,  -76.69, 1.17
 J0050-1538 , 12.600764393,-15.640742810,         SIPS J0050-1538 ,2005A&A...435..363D, 2372272516761781888,  0.28,       ...,                ...,      L1: ,2007AJ....133..439C,     L0.5 ,2014ApJ...794..143B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    13.779,     0.023,    13.077,     0.026,    12.647,     0.027,    12.318,     0.024,    12.058,     0.025,    11.452,     0.154,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    18.441,     0.002,     792.5,     1.3,    21.303,     0.166,      41.6,     6.4,    16.782,     0.011,    1555.6,    15.2,    18.753,   40.32, 0.24, -214.70, 0.43, -484.31, 0.31
 J0051-1544 , 12.795284633,-15.738175904,  2MASSW J0051107-154417 ,2000AJ....120..447K, 2371519626175864960,  0.05,       ...,                ...,     L3.5 ,2000AJ....120..447K,      ... ,               ... ,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.277,     0.050,    14.164,     0.048,    13.466,     0.039,    12.743,     0.023,    12.416,     0.025,    12.217,     0.365,    24.434,-99999.000,    22.036,     0.016,    20.205,     0.015,    18.546,     0.024,    17.508,     0.017,    20.565,     0.006,     112.0,     0.6,    21.450,     0.176,      36.4,     5.9,    18.816,     0.027,     238.9,     5.9,    20.396,   29.10, 1.35,   70.06, 1.78,  -30.07, 1.61
 J0053-3631 , 13.329423716,-36.519962476,  2MASS 00531899-3631102 ,2008ApJ...689.1295K, 5001668709601989248,  0.07,       ...,                ...,     L3.5 ,2008ApJ...689.1295K,      L4: ,2013AJ....146..161M,      ... ,               ... ,-99999.000,-99999.000,               ... ,    14.445,     0.026,    13.480,     0.031,    12.937,     0.029,    12.346,     0.024,    12.045,     0.022,    11.505,     0.173,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    19.653,     0.006,     259.6,     1.5,    21.855,     0.249,      25.0,     5.7,    17.854,     0.017,     579.8,     9.1,    19.573,   41.46, 0.92,   67.15, 1.10, -108.27, 1.18
 J0054-0031 , 13.528247015, -0.517969960,SDSSp J005406.55-003101.8,2002AJ....123..458S, 2536044636280401024,  0.33,       ...,                ...,       L1 ,2002AJ....123.3409H,       L2 ,2014ApJ...794..143B,     L1.5 ,2016A&A...589A..49S,-99999.000,-99999.000,               ... ,    15.731,     0.053,    14.891,     0.053,    14.380,     0.074,    13.997,     0.028,    13.757,     0.045,-99999.000,-99999.000,-99999.000,-99999.000,    22.239,     0.176,    20.074,     0.038,    18.678,     0.006,    17.658,     0.012,    20.597,     0.006,     108.8,     0.6,    21.823,     0.159,      25.8,     3.8,    18.976,     0.030,     206.2,     5.7,    20.745,   19.26, 1.22,  193.05, 2.44, -161.79, 1.46
 J0057-0846 , 14.273024830, -8.773427247,  2MASS 00570555-0846241 ,2008AJ....135..785W, 2474280047331246464,  0.00,       ...,                ...,       L0 ,2008AJ....135..785W,     M9.5 ,2014ApJ...794..143B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.698,     0.058,    14.917,     0.066,    14.356,     0.081,    14.091,     0.029,    13.800,     0.038,    12.131,-99999.000,    22.502,     0.660,    21.875,     0.001,    19.869,     0.010,    18.430,     0.006,    17.500,     0.018,    20.513,     0.007,     117.5,     0.8,    20.645,     0.224,      76.3,    15.7,    18.716,     0.033,     262.0,     8.0,    20.163,   12.80, 1.61,  -23.26, 3.43,   -1.86, 2.10
 J0058-0651 , 14.677934604, -6.857225780,  2MASSW J0058425-065123 ,2000AJ....120..447K, 2476262466795918080,  0.09,      MG; ,2014ApJ...783..121G,       L0 ,2000AJ....120..447K,       L0 ,2014ApJ...794..143B,      ... ,               ... ,    33.800,     4.000,2013AJ....146..161M,    14.311,     0.026,    13.444,     0.030,    12.904,     0.033,    12.567,     0.024,    12.265,     0.025,    11.543,     0.414,-99999.000,-99999.000,    20.870,     0.032,    18.608,     0.005,    17.166,     0.005,    16.208,     0.006,    19.076,     0.003,     441.6,     1.1,    21.181,     0.139,      46.6,     5.9,    17.453,     0.010,     838.7,     8.0,    19.010,   34.54, 0.36,  150.15, 0.77, -128.06, 0.51
 J0101+1528 , 15.471426524, 15.472239024,ULAS J010153.12+152819.8 ,2016A&A...589A..49S, 2777586789484377984,  0.02,       ...,                ...,      ... ,               ... ,      ... ,               ... ,       L0 ,2016A&A...589A..49S,-99999.000,-99999.000,           -99999. ,    15.485,     0.052,    14.702,     0.062,    14.208,     0.058,    13.780,     0.025,    13.512,     0.032,    12.731,     0.530,    22.017,-99999.000,    22.038,     0.007,    19.603,     0.009,    18.109,     0.018,    17.170,     0.022,    20.096,     0.010,     172.6,     1.6,    21.132,     0.275,      48.7,    12.4,    18.421,     0.031,     343.8,     9.9,    20.061,   14.18, 1.63,   23.89, 2.50,   36.96, 1.46
 J0106-5933 , 16.595626420,-59.555950814,  2MASS 01062285-5933185 ,2008AJ....136.1290R, 4903260597849834880,  0.10,       ...,                ...,       L0 ,2008AJ....136.1290R,      ... ,               ... ,      ... ,               ... ,-99999.000,-99999.000,               ... ,    14.330,     0.035,    13.566,     0.028,    13.005,     0.041,    12.791,     0.024,    12.521,     0.024,    11.988,     0.253,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    19.065,     0.004,     445.8,     1.4,    21.393,     0.221,      38.3,     7.8,    17.447,     0.011,     843.2,     8.5,    19.131,   27.91, 0.34,   48.38, 0.67, -191.28, 0.43
 J0106+0557 , 16.648101298,  5.959277072,ULAS J010635.57+055734.0 ,2016A&A...589A..49S, 2576389458819793920,  0.10,       ...,                ...,      ... ,               ... ,      ... ,               ... ,       L0 ,2016A&A...589A..49S,-99999.000,-99999.000,           -99999. ,    15.882,     0.076,    15.251,     0.085,    14.552,     0.089,    14.299,     0.029,    14.154,     0.048,    11.909,-99999.000,    22.447,-99999.000,    21.545,     0.184,    19.940,     0.014,    18.557,     0.009,    17.670,     0.015,    20.549,     0.010,     113.7,     1.1,    21.035,     0.259,      53.3,    12.7,    18.767,     0.049,     250.0,    11.2,    20.382,   11.56, 0.91,  -54.83, 1.70,  -74.47, 1.33
 J0109+0625 , 17.281843611,  6.433307826,ULAS J010907.51+062559.0 ,2016A&A...589A..49S, 2576519892681546240,  0.20,       ...,                ...,      ... ,               ... ,      ... ,               ... ,     L1.5 ,2016A&A...589A..49S,-99999.000,-99999.000,           -99999. ,    14.606,     0.038,    13.784,     0.040,    13.351,     0.049,    12.793,     0.024,    12.480,     0.025,    10.527,     0.095,-99999.000,-99999.000,-99999.000,-99999.000,    18.857,     0.010,    17.441,     0.006,    16.523,     0.014,    19.365,     0.005,     338.4,     1.7,    20.730,     0.152,      70.6,     9.9,    17.623,     0.019,     717.3,    12.3,    19.371,   31.27, 0.60,  303.18, 1.32,  131.01, 0.57
 J0109-4954 , 17.288906034,-49.914158564,        SSSPM J0109-4955 ,2005A&A...440.1061L, 4928939932436444544,  0.06,       ...,                ...,      M8: ,2008AJ....136.1290R,       L1 ,2005A&A...440.1061L,      ... ,               ... ,-99999.000,-99999.000,               ... ,    13.546,     0.024,    12.875,     0.026,    12.450,     0.027,    12.266,     0.024,    12.049,     0.022,    11.681,     0.181,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    17.812,     0.001,    1413.8,     1.7,    20.784,     0.116,      67.1,     7.2,    16.231,     0.004,    2584.0,    10.1,    18.671,   29.86, 0.16,   88.65, 0.18,  139.34, 0.20
 J0116-1654 , 19.163631851,-16.905598064,WISEAJ011639.05-165420.5 ,2016ApJ...817..112S, 2358397882610264960,  0.27,       ...,                ...,     sdL0 ,2017MNRAS.464.3040Z,   sdM8.5 ,2016ApJ...817..112S,   -99999.,           -99999. ,-99999.000,-99999.000,           -99999. ,    15.760,     0.120,-99999.000,-99999.000,-99999.000,-99999.000,    14.415,     0.030,    13.989,     0.044,    11.859,     0.299,-99999.000,-99999.000,-99999.000,-99999.000,    19.577,     0.021,    18.090,     0.007,    17.333,     0.024,    20.099,     0.005,     172.2,     0.8,    21.051,     0.136,      52.5,     6.6,    18.451,     0.022,     334.4,     6.7,    20.068,   16.45, 0.68,  602.21, 1.34,   67.57, 1.16
 J0116-6455 , 19.218385742,-64.933271551,   DENIS J0116529-645557 ,2010A&A...517A..53M, 4705936189520133760,  0.14,       ...,                ...,       L1 ,2010A&A...517A..53M,      ... ,               ... ,      ... ,               ... ,-99999.000,-99999.000,               ... ,    14.447,     0.038,    13.666,     0.028,    13.200,     0.038,    12.864,     0.024,    12.578,     0.023,    11.945,     0.208,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    19.302,     0.005,     358.5,     1.8,    21.188,     0.217,      46.3,     9.3,    17.607,     0.012,     728.0,     8.2,    19.397,   27.03, 0.44, -177.39, 0.84, -179.08, 0.64
 J0117-3403 , 19.448450822,-34.057430406,  2MASSI J0117474-340325 ,2003AJ....126.2421C, 5014541310703856256,  0.05,      MG; ,2014ApJ...783..121G,      L2: ,2003AJ....126.2421C,  L1 beta ,2013ApJ...772...79A,      ... ,               ... ,    26.110,     1.880,2016ApJ...833...96L,    15.178,     0.036,    14.209,     0.039,    13.489,     0.037,    13.047,     0.024,    12.644,     0.024,    11.730,     0.214,-99999.000,-99999.000,-99999.000,-99999.000,    19.867,     0.012,-99999.000,-99999.000,-99999.000,-99999.000,    20.346,     0.006,     137.1,     0.8,    21.612,     0.264,      31.3,     7.6,    18.635,     0.025,     282.4,     6.4,    19.828,   25.56, 0.71,  108.19, 0.92,  -59.99, 1.27
 J0122+0331 , 20.570914098,  3.522549077,               HIP 6407Ba,2014ApJ...792..119D, 2562743355583039616,  0.06,      VB; ,2014ApJ...792..119D,      ... ,               ... ,       L1 ,2014ApJ...792..119D,      L1: ,2016A&A...589A..49S,    17.489,     0.970,2007A&A...474..653V,    15.471,     0.046,    14.651,     0.061,    14.402,     0.080,    13.870,     0.025,    13.583,     0.033,    12.644,-99999.000,-99999.000,-99999.000,    21.934,     0.008,    19.819,     0.015,    18.338,     0.026,    17.332,     0.010,    20.380,     0.013,     132.9,     1.6,    22.212,     0.516,      18.0,     8.6,    18.639,     0.030,     281.2,     7.9,    20.318,   21.33, 1.29,   42.39, 2.62, -150.16, 2.22
 J0123-4240 , 20.995301858,-42.669695680,        SSSPM J0124-4240 ,2005A&A...440.1061L, 4983839338285335680,  0.07,       ...,                ...,       M8 ,2008AJ....136.1290R,     L2.5 ,2005A&A...440.1061L,      ... ,               ... ,-99999.000,-99999.000,               ... ,    13.153,     0.024,    12.470,     0.023,    12.037,     0.024,    11.780,     0.023,    11.562,     0.021,    11.325,     0.179,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    17.563,     0.001,    1779.3,     1.9,    20.730,     0.074,      70.6,     4.8,    15.959,     0.006,    3320.5,    19.4,    18.515,   38.78, 0.16, -139.62, 0.16, -240.96, 0.19
 J0125-3435 , 21.404753028,-34.584561956,  2MASSI J0125369-343505 ,2003A&A...403..929K, 5013609062282550528,  0.06,       ...,                ...,       L2 ,2003A&A...403..929K,       L1 ,2014ApJ...794..143B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.522,     0.055,    14.474,     0.051,    13.898,     0.054,    13.467,     0.024,    13.147,     0.029,    12.021,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    19.963,     0.015,-99999.000,-99999.000,-99999.000,-99999.000,    20.487,     0.008,     120.4,     0.9,    21.414,     0.247,      37.6,     8.6,    18.827,     0.017,     236.6,     3.7,    20.147,   24.72, 0.99,  180.29, 1.28,   31.88, 1.03
 J0128-5545 , 22.109218819,-55.759045472,  2MASS 01282664-5545343 ,2007A&A...466.1059K, 4910850865919078016,  0.17,       ...,                ...,       L2 ,2008AJ....136.1290R,       L1 ,2007A&A...466.1059K,      ... ,               ... ,-99999.000,-99999.000,               ... ,    13.775,     0.027,    12.916,     0.028,    12.336,     0.028,    11.963,     0.023,    11.705,     0.021,    11.222,     0.118,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    18.596,     0.003,     687.2,     2.0,-99999.000,-99999.000,  -99999.0,-99999.0,-99999.000,-99999.000,  -99999.0,-99999.0,    18.588,   54.02, 0.23, -234.96, 0.57,  108.24, 0.50
